model,benchmark,language,trigger,n_wait,n_samples,accuracy,scaling,performance,avg_thinking_tokens,extraction_failures,cuda_available,mps_available,run_dir,timestamp_utc
greenmind-14b-r1,vi_gsm8k,vi,Khoan đã,0,100,0.77,-0.09,0.77,213.2,0,True,False,experiments/results/vi_20260722_154354,20260722_154354
greenmind-14b-r1,vi_gsm8k,vi,Khoan đã,1,100,0.58,-0.09,0.77,233.4,0,True,False,experiments/results/vi_20260722_154354,20260722_154354
greenmind-14b-r1,vi_gsm8k,vi,Khoan đã,2,100,0.59,-0.09,0.77,279.4,0,True,False,experiments/results/vi_20260722_154354,20260722_154354
greenmind-14b-r1,vimmlu,vi,Khoan đã,0,100,0.57,-0.035,0.57,170.8,0,True,False,experiments/results/vi_20260722_201604,20260722_201604
greenmind-14b-r1,vimmlu,vi,Khoan đã,1,100,0.55,-0.035,0.57,242.8,0,True,False,experiments/results/vi_20260722_201604,20260722_201604
greenmind-14b-r1,vimmlu,vi,Khoan đã,2,100,0.5,-0.035,0.57,289.7,0,True,False,experiments/results/vi_20260722_201604,20260722_201604
greenmind-14b-r1,vnhsge,vi,Khoan đã,0,100,0.57,-0.095,0.57,178.3,0,True,False,experiments/results/vi_20260723_001606,20260723_001606
greenmind-14b-r1,vnhsge,vi,Khoan đã,1,100,0.38,-0.095,0.57,255.2,0,True,False,experiments/results/vi_20260723_001606,20260723_001606
greenmind-14b-r1,vnhsge,vi,Khoan đã,2,100,0.38,-0.095,0.57,292.2,0,True,False,experiments/results/vi_20260723_102501,20260723_102501
greenmind-14b-r1,vi_gsm8k,vi,"Không, chờ đã",0,100,0.77,-0.095,0.77,213.2,0,True,False,experiments/results/vi_20260723_162635,20260723_162635
greenmind-14b-r1,vi_gsm8k,vi,"Không, chờ đã",1,100,0.58,-0.095,0.77,221.3,0,True,False,experiments/results/vi_20260723_162635,20260723_162635
greenmind-14b-r1,vi_gsm8k,vi,"Không, chờ đã",2,100,0.58,-0.095,0.77,305.8,0,True,False,experiments/results/vi_20260723_162635,20260723_162635
greenmind-14b-r1,vnhsge,vi,"Không, chờ đã",0,100,0.57,-0.03,0.57,178.3,0,True,False,experiments/results/vi_20260723_163036,20260723_163036
greenmind-14b-r1,vnhsge,vi,"Không, chờ đã",1,100,0.5,-0.03,0.57,264.2,0,True,False,experiments/results/vi_20260723_163036,20260723_163036
greenmind-14b-r1,vnhsge,vi,"Không, chờ đã",2,100,0.51,-0.03,0.57,335.0,0,True,False,experiments/results/vi_20260723_121530,20260723_121530
greenmind-14b-r1,vimmlu,vi,"Không, chờ đã",0,100,0.57,-0.04,0.57,170.8,0,True,False,experiments/results/vi_20260723_204708,20260723_204708
greenmind-14b-r1,vimmlu,vi,"Không, chờ đã",1,100,0.56,-0.04,0.57,248.8,0,True,False,experiments/results/vi_20260723_204708,20260723_204708
greenmind-14b-r1,vimmlu,vi,"Không, chờ đã",2,100,0.49,-0.04,0.57,329.8,0,True,False,experiments/results/vi_20260723_204708,20260723_204708
greenmind-14b-r1,vi_gsm8k,vi,Để tôi kiểm tra lại,0,100,0.77,-0.095,0.77,213.2,0,True,False,experiments/results/vi_20260724_104814,20260724_104814
greenmind-14b-r1,vi_gsm8k,vi,Để tôi kiểm tra lại,1,100,0.71,-0.095,0.77,220.6,0,True,False,experiments/results/vi_20260724_104814,20260724_104814
greenmind-14b-r1,vi_gsm8k,vi,Để tôi kiểm tra lại,2,100,0.58,-0.095,0.77,238.4,0,True,False,experiments/results/vi_20260724_104814,20260724_104814
greenmind-14b-r1,vimmlu,vi,Để tôi kiểm tra lại,0,100,0.57,-0.055,0.57,170.8,0,True,False,experiments/results/vi_20260724_145123,20260724_145123
greenmind-14b-r1,vimmlu,vi,Để tôi kiểm tra lại,1,100,0.5,-0.055,0.57,225.5,0,True,False,experiments/results/vi_20260724_145123,20260724_145123
greenmind-14b-r1,vimmlu,vi,Để tôi kiểm tra lại,2,100,0.46,-0.055,0.57,243.9,0,True,False,experiments/results/vi_20260724_145123,20260724_145123
greenmind-14b-r1,vnhsge,vi,Để tôi kiểm tra lại,0,100,0.57,-0.055,0.57,178.3,0,True,False,experiments/results/vi_20260724_183018,20260724_183018
greenmind-14b-r1,vnhsge,vi,Để tôi kiểm tra lại,1,100,0.39,-0.055,0.57,242.7,0,True,False,experiments/results/vi_20260724_183018,20260724_183018
greenmind-14b-r1,vnhsge,vi,Để tôi kiểm tra lại,2,100,0.46,-0.055,0.57,260.6,0,True,False,experiments/results/vi_20260724_183018,20260724_183018
